tpep_pickup_datetime,tpep_dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
00:22.0,13:39.0,40.71853256,-74.00079346,40.68313599,-73.96514893
00:22.0,21:38.0,40.71422577,-73.9516449,40.72016907,-73.99591827
00:22.0,16:09.0,40.75925064,-73.99215698,40.77595901,-73.96071625
00:22.0,03:25.0,40.72304535,-73.98564911,40.72654343,-73.98305511
00:22.0,24:23.0,40.71915436,-73.9932251,40.77328873,-73.95454407
00:22.0,19:35.0,40.74510574,-74.00601959,40.71029663,-74.00666809
00:23.0,25:07.0,40.72687149,-73.98895264,40.76385117,-73.99353027
00:23.0,04:08.0,40.73683929,-73.97900391,40.74446487,-73.98044586
00:23.0,10:17.0,40.77452087,-73.95124054,40.80532455,-73.95090485
00:23.0,03:47.0,40.75656128,-73.99777985,40.76886368,-73.99201965
00:23.0,03:17.0,40.80016708,-73.958992,40.79867935,-73.96331787
00:23.0,05:40.0,40.73795319,-74.00019073,40.7493782,-73.99552917
00:23.0,08:50.0,40.76483154,-73.98792267,40.75211334,-74.00462341
00:23.0,05:10.0,40.76742172,-73.9707489,40.76948547,-73.98475647
00:24.0,09:07.0,40.72986603,-73.97888947,40.74111557,-73.98925018
00:24.0,10:18.0,40.74986267,-73.9914093,40.73556137,-73.99229431
00:24.0,12:52.0,40.74221039,-73.97769165,40.72142792,-73.98384857
00:24.0,10:37.0,40.73095322,-74.0014267,40.71876144,-73.9927063
00:25.0,21:19.0,40.74515915,-73.95459747,40.72943878,-73.98703003
00:25.0,02:32.0,40.73182678,-73.98214722,40.7424202,-73.97467804
00:25.0,04:45.0,40.74160385,-74.00252533,40.75028229,-74.00248718
00:25.0,14:45.0,40.73764038,-74.00566101,40.71098328,-74.01727295
00:25.0,11:31.0,40.74893951,-73.98532867,40.76525116,-73.97514343
00:25.0,18:23.0,40.71656036,-73.96167755,40.70261002,-73.92674255
00:25.0,08:33.0,40.74248123,-74.00663757,40.72977066,-74.01022339
00:25.0,15:33.0,40.76424026,-73.95445251,40.7107811,-74.00937653
00:25.0,05:47.0,40.75152969,-73.99407196,40.76250839,-73.99620056
00:25.0,09:22.0,40.7405014,-73.99814606,40.72034836,-74.0032959
00:26.0,14:53.0,40.70421982,-74.0115509,40.75099182,-73.9942627
00:26.0,05:59.0,40.73629379,-73.99640656,40.74475861,-74.00476837
00:26.0,05:27.0,40.76847839,-73.98456573,40.7657814,-73.98428345
00:26.0,11:11.0,40.7432785,-74.00746918,40.76725006,-73.98248291
00:26.0,10:37.0,40.70905685,-74.00051117,40.70905685,-74.00051117
00:26.0,27:38.0,40.79262161,-73.97141266,40.72620773,-73.98387909
00:26.0,17:49.0,40.72753525,-73.99124146,40.75832748,-73.98629761
00:27.0,03:20.0,40.72724915,-74.00055695,40.72252274,-74.00362396
00:27.0,22:02.0,40.73032761,-74.00026703,40.76835632,-73.95542145
00:27.0,17:40.0,40.75548553,-73.97707367,40.72830582,-73.94905853
00:27.0,06:45.0,40.74380875,-73.99267578,40.73015594,-74.00038147
00:27.0,14:29.0,40.7407608,-74.0075531,40.73164749,-74.00614929
00:27.0,22:16.0,40.71794891,-73.95005035,40.67323303,-73.96129608
00:27.0,04:20.0,40.73835373,-73.98571014,40.73787689,-73.99229431
00:28.0,06:33.0,40.7579689,-73.98687744,40.75544357,-73.98388672
00:28.0,12:27.0,40.73226929,-73.98495483,40.71936035,-74.00192261
00:28.0,13:26.0,40.73588181,-74.00079346,40.74391556,-73.98173523
00:28.0,10:00.0,0,0,0,0
00:28.0,14:06.0,0,0,0,0
00:28.0,09:44.0,40.71503448,-73.99232483,40.7302742,-73.98599243
00:28.0,13:40.0,40.74215317,-73.99324799,40.70460129,-74.0134201
00:29.0,13:19.0,40.74791718,-73.98725128,40.76689529,-73.98303986
00:29.0,23:47.0,40.73395157,-73.99264526,40.67315674,-73.98392487
00:29.0,17:02.0,40.74085617,-74.00749969,40.73146439,-73.98278809
00:29.0,08:30.0,40.79446793,-73.96627045,40.77683258,-73.9860611
00:29.0,05:41.0,40.76223755,-73.98223877,40.74602127,-73.99429321
00:29.0,15:56.0,40.73535538,-73.98282623,40.72161865,-73.9874649
00:29.0,04:42.0,40.77484131,-73.95393372,40.76818085,-73.96111298
00:29.0,18:00.0,40.76136398,-73.99162292,40.80105591,-73.94341278
00:29.0,08:30.0,40.74631119,-73.97479248,40.74631119,-73.97479248
00:29.0,12:12.0,40.74492264,-73.98104858,40.72699356,-73.98023224
00:29.0,13:39.0,40.74359512,-74.00332642,40.77669144,-73.97693634
00:29.0,10:52.0,40.7359581,-73.99362183,40.75127792,-73.97853851
00:30.0,28:32.0,40.73880386,-73.98994446,40.80570602,-73.9605484
00:30.0,02:47.0,40.77922821,-73.98190308,40.77632523,-73.97634125
00:30.0,06:13.0,40.69178391,-73.99747467,40.68397522,-73.99736023
00:30.0,14:23.0,40.74773788,-73.98103333,40.71988678,-73.99713135
00:30.0,05:54.0,40.76550674,-73.97003174,40.77797318,-73.97805786
00:30.0,31:20.0,40.7193985,-73.99054718,40.89567947,-73.89775848
00:30.0,24:04.0,40.71408844,-73.95567322,40.72722626,-73.99560547
00:30.0,06:57.0,40.7890625,-73.97037506,40.78486633,-73.94874573
00:30.0,05:27.0,40.77944565,-73.95550537,40.78798676,-73.94133759
00:30.0,18:49.0,40.71464157,-73.98223114,40.69024658,-73.99415588
00:30.0,13:26.0,40.71990585,-73.99151611,40.74332428,-73.97982025
00:30.0,07:22.0,0,0,0,0
00:30.0,10:20.0,40.68932724,-73.95511627,40.6853447,-73.91899109
00:31.0,08:01.0,40.72275162,-73.99784088,40.70666122,-74.00649261
00:31.0,07:38.0,40.80501175,-73.93884277,40.8014679,-73.94424438
00:31.0,14:32.0,40.72639084,-74.00234985,40.74773026,-73.98618317
00:31.0,18:40.0,40.71619034,-73.96231079,40.66360474,-73.9798584
00:31.0,12:27.0,40.7381897,-74.00960541,40.71945953,-73.99755859
00:31.0,08:04.0,40.79330444,-73.97477722,40.78097534,-73.95859528
00:31.0,06:30.0,40.7566452,-73.99230957,40.76522064,-73.99485016
00:31.0,08:17.0,40.74007797,-73.98648071,40.72972107,-73.98686981
00:31.0,18:55.0,40.7193222,-74.00511932,40.76543045,-73.99758148
00:31.0,01:06.0,40.76668167,-73.96725464,40.76493073,-73.96844482
00:31.0,17:49.0,40.78593826,-73.9726181,40.73477173,-73.99459839
00:31.0,25:44.0,40.72186661,-74.00416565,40.77497101,-73.96309662
00:32.0,14:15.0,40.7503624,-74.00261688,40.73188019,-73.99539185
00:32.0,03:08.0,40.73937988,-74.00140381,40.75040054,-73.99466705
00:32.0,12:39.0,40.75938034,-73.98838806,40.77159119,-73.95692444
00:32.0,02:13.0,40.71184158,-74.00717926,40.70991135,-74.01161194
00:32.0,02:13.0,40.71184158,-74.00717926,40.70991135,-74.01161194
00:32.0,19:30.0,40.73722839,-73.98145294,40.72237015,-73.99175262
00:32.0,24:22.0,40.75860596,-73.9599762,40.73940659,-74.00629425
00:32.0,04:05.0,40.72333527,-74.00798035,40.71567154,-74.00913239
00:32.0,15:23.0,40.77437592,-73.98108673,40.74115372,-73.97930908
00:32.0,16:53.0,40.7340126,-73.99918365,40.78078079,-73.95896149
00:32.0,09:49.0,40.71115112,-74.00032043,40.71330261,-74.01092529
00:32.0,07:39.0,40.72730255,-73.99531555,40.73160934,-74.00101471
00:32.0,05:19.0,40.74871063,-73.99259949,40.75267029,-73.978508
00:33.0,13:14.0,0,0,0,0
00:33.0,04:34.0,40.73497009,-73.97967529,40.74541473,-73.97717285
00:33.0,07:56.0,40.73848724,-73.98763275,40.75352097,-73.98686981
00:33.0,13:50.0,40.76564789,-73.98743439,40.7723732,-73.95571899
00:33.0,17:05.0,40.75801086,-73.96922302,40.81164169,-73.93984222
00:33.0,11:58.0,40.76987076,-73.99210358,40.74991989,-73.991539
00:33.0,12:12.0,40.79574585,-73.97433472,40.74057388,-74.00860596
00:33.0,05:24.0,40.7509613,-73.98693848,40.7526207,-73.97322083
00:33.0,34:08.0,40.75645828,-73.99355316,40.68085098,-73.97123718
00:34.0,21:35.0,40.76992035,-73.86384583,40.75478363,-73.97660065
00:34.0,09:50.0,40.74878693,-73.97821808,40.7352562,-74.00178528
00:34.0,03:42.0,40.75681305,-73.98261261,40.76220322,-73.97433472
00:34.0,27:29.0,40.73617172,-74.00585938,40.73292923,-73.95603943
00:34.0,07:19.0,40.72068787,-73.98949432,40.72580719,-73.99739838
00:34.0,07:37.0,0,0,40.78396988,-73.95219421
00:34.0,13:06.0,40.68305206,-73.97667694,40.66482162,-73.9591217
00:34.0,12:59.0,40.72612762,-73.98364258,40.7130127,-73.99720001
00:34.0,05:57.0,40.77363205,-73.95992279,40.75611496,-73.96769714
00:34.0,17:41.0,40.68302155,-73.97653961,40.73932648,-73.92804718
00:34.0,05:49.0,0,0,0,0
00:34.0,22:21.0,40.73595047,-74.00588226,40.67866898,-73.99217224
00:35.0,12:48.0,40.8031311,-73.9563446,40.8302269,-73.94571686
00:35.0,04:48.0,40.75494766,-73.98402405,40.76969147,-73.98400116
00:35.0,14:39.0,40.740242,-73.98641205,40.76472855,-73.98258972
00:35.0,15:38.0,40.77420044,-73.96180725,40.74515152,-73.99791718
00:35.0,14:42.0,40.76208115,-74.00093842,40.75223541,-73.98574829
00:35.0,07:40.0,40.72489548,-73.98725891,40.7571373,-73.9638443
00:35.0,21:32.0,40.75902176,-73.98590851,40.77593994,-73.92909241
00:35.0,10:38.0,40.7229538,-73.98574066,40.75209427,-73.97696686
00:35.0,10:50.0,40.72236252,-73.99182129,40.733078,-74.00580597
00:36.0,03:27.0,40.7527771,-73.97854614,40.74840164,-73.98027039
00:36.0,05:55.0,40.75627136,-73.98319244,40.74975967,-73.97949982
00:36.0,06:52.0,40.72995377,-73.98950958,40.74001312,-73.98221588
00:36.0,03:34.0,40.76612854,-73.95610046,40.76104355,-73.96091461
00:36.0,06:45.0,40.80022049,-73.96962738,40.78279114,-73.9823761
00:36.0,09:39.0,40.74761963,-73.97676086,40.76023102,-73.99078369
00:36.0,12:21.0,40.73269272,-73.98994446,40.74990082,-74.00273132
00:36.0,08:21.0,40.71927643,-73.99075317,40.70587921,-74.00804901
00:36.0,05:01.0,40.72694016,-73.99658966,40.72579193,-73.99192047
00:37.0,18:07.0,40.72264862,-73.98804474,40.74380493,-74.00592804
00:37.0,18:43.0,40.73265839,-74.00256348,40.75891113,-73.98601532
00:37.0,14:05.0,40.75100327,-73.99821472,40.73143005,-74.00038147
00:37.0,16:08.0,40.75523376,-73.97106171,40.81315613,-73.91982269
00:37.0,26:23.0,40.71904755,-73.99001312,40.76625061,-73.97948456
00:38.0,11:16.0,40.76686859,-73.9852829,40.75245667,-73.97042847
00:38.0,14:09.0,40.74583435,-73.99346161,40.71569061,-74.00508118
00:38.0,07:53.0,40.72929764,-73.98701477,40.73402023,-73.9983902
00:38.0,17:12.0,40.76961136,-73.86329651,40.74332809,-73.97257996
00:38.0,11:30.0,40.72325897,-73.98825836,40.73985672,-73.98953247
00:38.0,20:40.0,40.78263855,-73.98087311,40.72156906,-73.98362732
00:38.0,15:23.0,40.71827698,-73.99412537,40.68741226,-73.96006012
00:39.0,05:02.0,40.7375412,-73.98843384,40.72835159,-73.98799896
00:39.0,10:41.0,40.77871704,-73.9538269,40.74918365,-73.97637939
00:39.0,09:11.0,40.75785446,-73.98695374,40.74097824,-73.98925018
00:39.0,20:33.0,40.72313309,-73.98844147,40.76745224,-73.98616028
00:39.0,41:13.0,40.75613022,-73.98314667,40.66959,-73.97312927
00:39.0,06:34.0,40.79283142,-73.97498322,40.77946854,-73.98475647
00:39.0,14:12.0,40.74078369,-74.00550842,40.7501297,-73.98854828
00:39.0,09:39.0,40.73400879,-73.99855804,40.72539139,-73.99227905
00:39.0,07:27.0,40.75398636,-73.96627808,40.77974701,-73.95398712
00:39.0,13:32.0,40.74522018,-73.9981842,40.7146492,-74.01597595
00:39.0,08:25.0,40.73445129,-73.98963165,40.71900558,-74.00217438
00:40.0,22:07.0,40.71584702,-74.0090332,40.71330643,-73.96204376
00:40.0,20:11.0,40.75938797,-73.96507263,40.74086761,-74.00754547
00:40.0,16:57.0,40.70492172,-74.00954437,40.73490143,-74.00363159
00:40.0,27:05.0,40.71649551,-74.00920868,40.79861832,-73.96720123
00:40.0,27:24.0,40.75753784,-73.96715546,40.75753784,-73.96715546
00:40.0,07:47.0,40.73469543,-74.00016022,40.72948837,-73.98697662
00:40.0,07:37.0,40.77518845,-73.95374298,40.75616455,-73.96754456
00:40.0,05:54.0,40.72997284,-73.98358154,40.74663544,-73.97424316
00:40.0,10:06.0,40.75704193,-73.97120667,40.72985458,-73.98683929
00:41.0,18:56.0,40.72993088,-73.98078918,40.76279449,-73.92720032
00:41.0,19:33.0,40.76676178,-73.97902679,40.73752975,-74.00458527
00:41.0,00:56.0,40.73659134,-73.98194122,40.73659134,-73.98194122
00:41.0,05:41.0,40.73322296,-73.99975586,40.72981262,-74.00915527
00:41.0,27:54.0,40.7023735,-73.98898315,40.76209259,-73.9937439
00:41.0,10:56.0,40.71727371,-74.003685,40.74416733,-73.99190521
00:42.0,08:39.0,40.78707886,-73.95383453,40.7728653,-73.94947052
00:42.0,25:07.0,40.72352219,-73.99274445,40.78303528,-73.97113037
00:42.0,05:35.0,40.7521286,-73.97514343,40.74351501,-73.97259521
00:42.0,05:43.0,40.73331833,-73.98992157,40.74108887,-73.97879028
00:42.0,39:44.0,40.75770187,-73.98622894,40.70037842,-73.89997101
00:42.0,12:53.0,40.74232864,-73.93396759,40.72222137,-73.94976044
00:42.0,15:11.0,40.72035599,-73.98464203,40.77152252,-73.95030212
00:42.0,18:24.0,40.75571442,-73.98358917,40.74311447,-73.91925049
00:42.0,27:11.0,40.72456741,-73.99578857,40.75920486,-73.93101501
00:43.0,06:22.0,40.71907806,-73.99983978,40.71698761,-73.98999786
00:43.0,12:13.0,40.73265457,-73.98760986,40.72251129,-73.98734283
00:43.0,08:34.0,40.75819778,-73.96648407,40.74568558,-73.99121857
00:43.0,05:15.0,40.77736282,-73.95017242,40.77172089,-73.96492767
00:43.0,12:02.0,40.72951889,-73.9838028,40.72126007,-73.98686981
