vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,5/15/11 22:04,5/15/11 22:08,5,1.12,-73.993862,40.741658,1,,-74.00603,40.731598,CSH,4.9,0.5,0.5,0,0,5.9
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:03,5/14/11 15:11,1,1.2,-73.975618,40.752624,1,N,-73.962948,40.757898,CRD,6.1,0,0.5,2,0,8.6
,,,,,,,,,,,,,,,,,
CMT,5/13/11 14:28,5/13/11 14:38,1,1.1,-73.980959,40.765429,1,N,-73.980248,40.780482,CRD,6.5,0,0.5,1.4,0,8.4
,,,,,,,,,,,,,,,,,
CMT,5/13/11 14:34,5/13/11 14:41,1,1.2,-73.966934,40.760925,1,N,-73.951481,40.769182,CRD,6.1,0,0.5,1,0,7.6
,,,,,,,,,,,,,,,,,
VTS,5/15/11 22:01,5/15/11 22:08,1,2.49,-74.000795,40.731805,1,,-73.986088,40.761655,CRD,7.7,0.5,0.5,3,0,11.7
,,,,,,,,,,,,,,,,,
VTS,5/15/11 22:01,5/15/11 22:06,2,0.74,-73.989818,40.725757,1,,-74.001142,40.731515,CSH,4.9,0.5,0.5,0,0,5.9
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:07,5/14/11 15:14,1,1.1,-73.987144,40.739654,1,N,-73.973274,40.743838,CRD,5.7,0,0.5,1.24,0,7.44
,,,,,,,,,,,,,,,,,
CMT,5/13/11 14:28,5/13/11 14:35,1,0.6,-73.980982,40.753794,1,N,-73.983585,40.756775,CRD,4.9,0,0.5,1.08,0,6.48
,,,,,,,,,,,,,,,,,
VTS,5/15/11 22:06,5/15/11 22:09,1,1.09,-74.005492,40.727952,1,,-74.010357,40.714105,CSH,4.5,0.5,0.5,0,0,5.5
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:07,5/14/11 15:15,1,1.1,-73.981108,40.768683,1,N,-73.986303,40.778658,CRD,6.1,0,0.5,1.25,0,7.85
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:07,5/14/11 15:24,2,3.5,-73.985059,40.728085,1,N,-73.96025,40.770366,CRD,12.1,0,0.5,2.52,0,15.12
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:54,5/15/11 22:05,3,3.02,-73.984312,40.756723,1,,-73.998677,40.722967,CSH,9.7,0.5,0.5,0,0,10.7
,,,,,,,,,,,,,,,,,
VTS,5/15/11 22:09,5/15/11 22:15,2,1.85,-73.978512,40.747952,1,,-73.995652,40.72671,CSH,6.5,0.5,0.5,0,0,7.5
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:12,5/14/11 15:32,1,1.7,-73.980375,40.748656,1,N,-73.983188,40.766783,CRD,11.3,0,0.5,2.36,0,14.16
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:03,5/14/11 15:15,1,0.9,-73.98847,40.774372,1,N,-73.980908,40.76611,CRD,7.7,0,0.5,0,0,8.2
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:36,5/15/11 21:42,3,1.13,-73.982468,40.768282,1,,-73.97378,40.764525,CSH,4.9,0.5,0.5,0,0,5.9
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:54,5/15/11 21:57,2,0.8,-74.00662,40.72153,1,,-74.002578,40.728673,CSH,4.1,0.5,0.5,0,0,5.1
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:35,5/15/11 21:42,1,1.01,-73.976022,40.744683,1,,-73.990893,40.750455,CRD,5.3,0.5,0.5,2,0,8.3
,,,,,,,,,,,,,,,,,
VTS,5/15/11 21:18,5/15/11 21:34,1,4.12,-73.84443,40.729727,1,,-74.00585,40.716375,CSH,12.9,0.5,0.5,0,0,13.9
,,,,,,,,,,,,,,,,,
CMT,5/13/11 9:41,5/13/11 9:50,2,0.4,-73.991009,40.764345,1,N,-73.984679,40.763225,CRD,6.1,0,0.5,1,0,7.6
,,,,,,,,,,,,,,,,,
CMT,5/13/11 9:54,5/13/11 10:31,1,16.9,-73.983741,40.738087,2,N,-73.77629,40.645764,CRD,45,0,0.5,5,4.8,55.3
,,,,,,,,,,,,,,,,,
CMT,5/13/11 9:53,5/13/11 10:00,2,1,-73.979318,40.747332,1,N,-73.971949,40.757777,CRD,5.7,0,0.5,1,0,7.2
,,,,,,,,,,,,,,,,,
CMT,5/13/11 9:56,5/13/11 10:06,1,1.2,-74.000012,40.727137,1,Y,-74.008839,40.715316,CRD,6.9,0,0.5,1.48,0,8.88
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:09,5/14/11 15:17,1,2,-73.962233,40.770162,1,N,-73.981043,40.744631,CRD,7.3,0,0.5,1.1,0,8.9
,,,,,,,,,,,,,,,,,
CMT,5/14/11 15:00,5/14/11 15:00,1,6.3,0,0,2,N,0,0,CRD,45,0,0.5,5,4.8,55.3
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:50,5/15/11 12:59,1,1.3,-73.988065,40.731962,1,,-74.004542,40.728532,CSH,6.9,0,0.5,0,0,7.4
,,,,,,,,,,,,,,,,,
CMT,5/13/11 4:09,5/13/11 4:25,1,5.2,-73.954678,40.773789,1,N,-73.90599,40.775131,CRD,14.9,0.5,0.5,2,0,17.9
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:46,5/15/11 12:59,1,2.52,-73.986403,40.756675,1,,-73.9874,40.728953,CSH,9.3,0,0.5,0,0,9.8
,,,,,,,,,,,,,,,,,
VTS,5/15/11 12:56,5/15/11 13:01,1,0.97,-73.975088,40.75336,1,,-73.982905,40.758663,CRD,4.9,0,0.5,4,0,9.4
,,,,,,,,,,,,,,,,,
CMT,5/12/11 19:47,5/12/11 20:07,1,2.4,-73.980278,40.761826,1,N,-73.987488,40.732995,CRD,11.7,1,0.5,1,0,14.2
,,,,,,,,,,,,,,,,,
